Todas as mensagens de registro de eventos.
Data:	2000-01-01 06:57:53
Nome do sistema:	System1
Nome do controlador:	192.168.133.1
ID do controlador
	24-53319

RobotWare:	5.14.1032
Chave:	.csNpds3aus-s6MyUXs-s9
Opções:	
	RW Control module key
	RobotWare OS and English
	644-6 Portuguese
		645-3 Spanish
		709-x DeviceNet
			709-1 Master/Slave Single
			608-1 World Zones
			609-1 Fixed Position Events
			611-1 Path Recovery
			613-1 Collision Detection
			617-1 FlexPendant Interface
			620-1 File and Serial Channel Handling
			621-1 Logical Cross Connections
			622-1 Analog Signal Interrupt

DriveModule1
Chave:	LlVbY.0SGVirW
Opções:	
	RW Drive module 1 key
	ABB standard manipulator
		IRB 4400 Type B
			4400/45 Type B
			Add axes IRB/drive module 4400/940
				R2C2 Standard
					No drive in pos Y2



Comum mensagens de registro
SeqNo     	Tipo	Categoria           	Código  	Título                                  	Data                	Descrição	Argumentos
1639352   	E   	Movimento           	50055   	Excesso de carga na junta               	2000-01-01 04:59:54 	Excesso de torque efetivo na junta rob1_5. Pode ter sido causado por dados de carga incorretos, excesso de aceleração, altas forças externas do processo, baixa temperatura ou erro de hardware.	{args: "rob1_5"}
1639353   	I   	Operacional         	10020   	Estado de erro de execução              	2000-01-01 04:59:54 	A execução do programa na tarefa T_ROB1 parou devido a um erro espontâneo.	{args: "1", "T_ROB1"}
1639354   	I   	Operacional         	10012   	Estado de parada de proteção de segurança	2000-01-01 04:59:54 	O sistema encontra-se no estado de Parada de proteção. Ele entra nesse estado depois de passar do modo Automático para o Manual ou depois que o circuito de Motores ligados foi fechado por uma Parada de Emergência, Parada Geral, Parada Automática ou Parada Superior.	{args: }
1639355   	I   	Operacional         	10125   	O programa foi interrompido             	2000-01-01 04:59:54 	A tarefa T_ROB1 foi interrompida. O motivo é que ocorreu uma parada externa ou interna.	{args: "1", "T_ROB1"}
1639356   	W   	Movimento           	50240   	Alteração na Excelente Parada de Emergência	2000-01-01 04:59:54 	A Excelente Parada de Emergência mudou para o modo de Freio elétrico devido à limitação de torque.	{args: }
1639357   	W   	Movimento           	50240   	Alteração na Excelente Parada de Emergência	2000-01-01 04:59:54 	A Excelente Parada de Emergência mudou para o modo de Freio elétrico devido à limitação de torque.	{args: }
1639358   	I   	Operacional         	10010   	Estado de motores desligados            	2000-01-01 04:59:55 	O sistema encontra-se no estado de Motores desligados. Ele entra nesse estado depois de passar do modo Manual para o Automático ou depois que o circuito de Motores ligados foi aberto enquanto o programa era executado.	{args: }
1639359   	I   	Operacional         	10011   	Estado de motores ligados               	2000-01-01 05:00:34 	O sistema encontra-se no estado de Motores ligados.	{args: }
1639360   	I   	Operacional         	10012   	Estado de parada de proteção de segurança	2000-01-01 05:07:59 	O sistema encontra-se no estado de Parada de proteção. Ele entra nesse estado depois de passar do modo Automático para o Manual ou depois que o circuito de Motores ligados foi fechado por uma Parada de Emergência, Parada Geral, Parada Automática ou Parada Superior.	{args: }
1639361   	E   	Sistema             	20205   	A Parada Automática está aberta         	2000-01-01 05:08:00 	O circuito Parada com Segurança do Modo Automático foi interrompido.	{args: }
1639362   	E   	Sistema             	20206   	A Parada Geral está aberta              	2000-01-01 05:08:00 	O circuito Parada com Segurança do Modo Geral foi interrompido.	{args: }
1639363   	I   	Operacional         	10010   	Estado de motores desligados            	2000-01-01 05:08:18 	O sistema encontra-se no estado de Motores desligados. Ele entra nesse estado depois de passar do modo Manual para o Automático ou depois que o circuito de Motores ligados foi aberto enquanto o programa era executado.	{args: }
1639364   	I   	Operacional         	10011   	Estado de motores ligados               	2000-01-01 05:08:48 	O sistema encontra-se no estado de Motores ligados.	{args: }
1639365   	I   	Operacional         	10012   	Estado de parada de proteção de segurança	2000-01-01 05:09:32 	O sistema encontra-se no estado de Parada de proteção. Ele entra nesse estado depois de passar do modo Automático para o Manual ou depois que o circuito de Motores ligados foi fechado por uma Parada de Emergência, Parada Geral, Parada Automática ou Parada Superior.	{args: }
1639366   	E   	Sistema             	20205   	A Parada Automática está aberta         	2000-01-01 05:09:32 	O circuito Parada com Segurança do Modo Automático foi interrompido.	{args: }
1639367   	E   	Sistema             	20206   	A Parada Geral está aberta              	2000-01-01 05:09:32 	O circuito Parada com Segurança do Modo Geral foi interrompido.	{args: }
1639368   	I   	Operacional         	10010   	Estado de motores desligados            	2000-01-01 05:09:49 	O sistema encontra-se no estado de Motores desligados. Ele entra nesse estado depois de passar do modo Manual para o Automático ou depois que o circuito de Motores ligados foi aberto enquanto o programa era executado.	{args: }
1639369   	I   	Operacional         	10015   	Modo manual selecionado                 	2000-01-01 05:10:08 	O sistema está no modo Manual.	{args: }
1639370   	I   	Operacional         	10012   	Estado de parada de proteção de segurança	2000-01-01 05:10:08 	O sistema encontra-se no estado de Parada de proteção. Ele entra nesse estado depois de passar do modo Automático para o Manual ou depois que o circuito de Motores ligados foi fechado por uma Parada de Emergência, Parada Geral, Parada Automática ou Parada Superior.	{args: }
1639371   	I   	Operacional         	10010   	Estado de motores desligados            	2000-01-01 05:10:20 	O sistema encontra-se no estado de Motores desligados. Ele entra nesse estado depois de passar do modo Manual para o Automático ou depois que o circuito de Motores ligados foi aberto enquanto o programa era executado.	{args: }
1639372   	I   	Operacional         	10011   	Estado de motores ligados               	2000-01-01 05:10:23 	O sistema encontra-se no estado de Motores ligados.	{args: }
1639373   	I   	Operacional         	10021   	Redefinição do erro de execução         	2000-01-01 05:10:23 	 A execução do programa na tarefa T_ROB1 deixou um estado de erro espontâneo. 	{args: "1", "T_ROB1"}
1639374   	I   	Operacional         	10052   	Recupere a partida                      	2000-01-01 05:10:23 	Iniciou-se um movimento de recuperação.	{args: "0"}
1639375   	E   	Movimento           	50056   	Colisão de junta                        	2000-01-01 05:10:24 	O torque efetivo na junta rob1_5 é superior ao solicitado enquanto estiver em velocidade baixa ou nula. Pode ter sido causado por erro de obstrução (o braço ficou preso) ou erro de hardware.	{args: "rob1_5"}
1639376   	I   	Operacional         	10012   	Estado de parada de proteção de segurança	2000-01-01 05:10:24 	O sistema encontra-se no estado de Parada de proteção. Ele entra nesse estado depois de passar do modo Automático para o Manual ou depois que o circuito de Motores ligados foi fechado por uma Parada de Emergência, Parada Geral, Parada Automática ou Parada Superior.	{args: }
1639377   	I   	Operacional         	10053   	A recuperação está pronta               	2000-01-01 05:10:24 	O movimento de recuperação está pronto.	{args: "0"}
1639378   	W   	Movimento           	50240   	Alteração na Excelente Parada de Emergência	2000-01-01 05:10:24 	A Excelente Parada de Emergência mudou para o modo de Freio elétrico devido à limitação de torque.	{args: }
1639379   	W   	Movimento           	50240   	Alteração na Excelente Parada de Emergência	2000-01-01 05:10:24 	A Excelente Parada de Emergência mudou para o modo de Freio elétrico devido à limitação de torque.	{args: }
1639380   	W   	Movimento           	50240   	Alteração na Excelente Parada de Emergência	2000-01-01 05:10:24 	A Excelente Parada de Emergência mudou para o modo de Freio elétrico devido à limitação de torque.	{args: }
1639381   	I   	Operacional         	10010   	Estado de motores desligados            	2000-01-01 05:10:25 	O sistema encontra-se no estado de Motores desligados. Ele entra nesse estado depois de passar do modo Manual para o Automático ou depois que o circuito de Motores ligados foi aberto enquanto o programa era executado.	{args: }
1639382   	I   	Operacional         	10012   	Estado de parada de proteção de segurança	2000-01-01 05:10:27 	O sistema encontra-se no estado de Parada de proteção. Ele entra nesse estado depois de passar do modo Automático para o Manual ou depois que o circuito de Motores ligados foi fechado por uma Parada de Emergência, Parada Geral, Parada Automática ou Parada Superior.	{args: }
1639383   	I   	Operacional         	10010   	Estado de motores desligados            	2000-01-01 05:10:32 	O sistema encontra-se no estado de Motores desligados. Ele entra nesse estado depois de passar do modo Manual para o Automático ou depois que o circuito de Motores ligados foi aberto enquanto o programa era executado.	{args: }
1639384   	I   	Operacional         	10011   	Estado de motores ligados               	2000-01-01 05:10:33 	O sistema encontra-se no estado de Motores ligados.	{args: }
1639385   	I   	Operacional         	10012   	Estado de parada de proteção de segurança	2000-01-01 05:10:34 	O sistema encontra-se no estado de Parada de proteção. Ele entra nesse estado depois de passar do modo Automático para o Manual ou depois que o circuito de Motores ligados foi fechado por uma Parada de Emergência, Parada Geral, Parada Automática ou Parada Superior.	{args: }
1639386   	I   	Operacional         	10010   	Estado de motores desligados            	2000-01-01 05:10:35 	O sistema encontra-se no estado de Motores desligados. Ele entra nesse estado depois de passar do modo Manual para o Automático ou depois que o circuito de Motores ligados foi aberto enquanto o programa era executado.	{args: }
1639387   	I   	Operacional         	10012   	Estado de parada de proteção de segurança	2000-01-01 05:10:37 	O sistema encontra-se no estado de Parada de proteção. Ele entra nesse estado depois de passar do modo Automático para o Manual ou depois que o circuito de Motores ligados foi fechado por uma Parada de Emergência, Parada Geral, Parada Automática ou Parada Superior.	{args: }
1639388   	I   	Operacional         	10010   	Estado de motores desligados            	2000-01-01 05:10:38 	O sistema encontra-se no estado de Motores desligados. Ele entra nesse estado depois de passar do modo Manual para o Automático ou depois que o circuito de Motores ligados foi aberto enquanto o programa era executado.	{args: }
1639389   	I   	Operacional         	10011   	Estado de motores ligados               	2000-01-01 05:10:41 	O sistema encontra-se no estado de Motores ligados.	{args: }
1639390   	I   	Operacional         	10012   	Estado de parada de proteção de segurança	2000-01-01 05:10:42 	O sistema encontra-se no estado de Parada de proteção. Ele entra nesse estado depois de passar do modo Automático para o Manual ou depois que o circuito de Motores ligados foi fechado por uma Parada de Emergência, Parada Geral, Parada Automática ou Parada Superior.	{args: }
1639391   	I   	Operacional         	10010   	Estado de motores desligados            	2000-01-01 05:10:43 	O sistema encontra-se no estado de Motores desligados. Ele entra nesse estado depois de passar do modo Manual para o Automático ou depois que o circuito de Motores ligados foi aberto enquanto o programa era executado.	{args: }
1639392   	I   	Operacional         	10012   	Estado de parada de proteção de segurança	2000-01-01 05:10:44 	O sistema encontra-se no estado de Parada de proteção. Ele entra nesse estado depois de passar do modo Automático para o Manual ou depois que o circuito de Motores ligados foi fechado por uma Parada de Emergência, Parada Geral, Parada Automática ou Parada Superior.	{args: }
1639393   	I   	Operacional         	10010   	Estado de motores desligados            	2000-01-01 05:10:45 	O sistema encontra-se no estado de Motores desligados. Ele entra nesse estado depois de passar do modo Manual para o Automático ou depois que o circuito de Motores ligados foi aberto enquanto o programa era executado.	{args: }
1639394   	I   	Operacional         	10011   	Estado de motores ligados               	2000-01-01 05:10:47 	O sistema encontra-se no estado de Motores ligados.	{args: }
1639395   	E   	Movimento           	50030   	Robô fora de seus limites               	2000-01-01 05:11:04 	A manobra foi realizada na direção errada quando o paralelograma estava fora da faixa de trabalho do robô ROB_1. 	{args: "ROB_1"}
1639396   	I   	Operacional         	10012   	Estado de parada de proteção de segurança	2000-01-01 05:11:07 	O sistema encontra-se no estado de Parada de proteção. Ele entra nesse estado depois de passar do modo Automático para o Manual ou depois que o circuito de Motores ligados foi fechado por uma Parada de Emergência, Parada Geral, Parada Automática ou Parada Superior.	{args: }
1639397   	I   	Operacional         	10010   	Estado de motores desligados            	2000-01-01 05:11:08 	O sistema encontra-se no estado de Motores desligados. Ele entra nesse estado depois de passar do modo Manual para o Automático ou depois que o circuito de Motores ligados foi aberto enquanto o programa era executado.	{args: }
1639398   	I   	Operacional         	10011   	Estado de motores ligados               	2000-01-01 05:11:11 	O sistema encontra-se no estado de Motores ligados.	{args: }
1639399   	I   	Operacional         	10012   	Estado de parada de proteção de segurança	2000-01-01 05:11:11 	O sistema encontra-se no estado de Parada de proteção. Ele entra nesse estado depois de passar do modo Automático para o Manual ou depois que o circuito de Motores ligados foi fechado por uma Parada de Emergência, Parada Geral, Parada Automática ou Parada Superior.	{args: }
1639400   	I   	Operacional         	10010   	Estado de motores desligados            	2000-01-01 05:11:13 	O sistema encontra-se no estado de Motores desligados. Ele entra nesse estado depois de passar do modo Manual para o Automático ou depois que o circuito de Motores ligados foi aberto enquanto o programa era executado.	{args: }
1639401   	I   	Operacional         	10012   	Estado de parada de proteção de segurança	2000-01-01 05:11:15 	O sistema encontra-se no estado de Parada de proteção. Ele entra nesse estado depois de passar do modo Automático para o Manual ou depois que o circuito de Motores ligados foi fechado por uma Parada de Emergência, Parada Geral, Parada Automática ou Parada Superior.	{args: }
1639402   	I   	Operacional         	10002   	O ponteiro do programa foi redefinido   	2000-01-01 05:13:23 	O ponteiro do programa da tarefa T_ROB1 foi redefinido.	{args: "1", "0", "T_ROB1"}
1639403   	I   	Operacional         	10010   	Estado de motores desligados            	2000-01-01 05:13:24 	O sistema encontra-se no estado de Motores desligados. Ele entra nesse estado depois de passar do modo Manual para o Automático ou depois que o circuito de Motores ligados foi aberto enquanto o programa era executado.	{args: }
1639404   	I   	Operacional         	10011   	Estado de motores ligados               	2000-01-01 05:13:25 	O sistema encontra-se no estado de Motores ligados.	{args: }
1639405   	I   	Operacional         	10052   	Recupere a partida                      	2000-01-01 05:13:25 	Iniciou-se um movimento de recuperação.	{args: "0"}
1639406   	I   	Operacional         	10053   	A recuperação está pronta               	2000-01-01 05:13:25 	O movimento de recuperação está pronto.	{args: "0"}
1639407   	I   	Operacional         	10151   	O programa foi iniciado                 	2000-01-01 05:13:25 	A execução da tarefa T_ROB1 foi iniciada a partir da primeira instrução da rotina de entrada de tarefas. O originador é um cliente externo.	{args: "1", "T_ROB1"}
1639408   	I   	Operacional         	10012   	Estado de parada de proteção de segurança	2000-01-01 05:13:39 	O sistema encontra-se no estado de Parada de proteção. Ele entra nesse estado depois de passar do modo Automático para o Manual ou depois que o circuito de Motores ligados foi fechado por uma Parada de Emergência, Parada Geral, Parada Automática ou Parada Superior.	{args: }
1639409   	I   	Operacional         	10125   	O programa foi interrompido             	2000-01-01 05:13:39 	A tarefa T_ROB1 foi interrompida. O motivo é que ocorreu uma parada externa ou interna.	{args: "1", "T_ROB1"}
1639410   	I   	Operacional         	10010   	Estado de motores desligados            	2000-01-01 05:13:44 	O sistema encontra-se no estado de Motores desligados. Ele entra nesse estado depois de passar do modo Manual para o Automático ou depois que o circuito de Motores ligados foi aberto enquanto o programa era executado.	{args: }
1639411   	I   	Operacional         	10012   	Estado de parada de proteção de segurança	2000-01-01 05:13:46 	O sistema encontra-se no estado de Parada de proteção. Ele entra nesse estado depois de passar do modo Automático para o Manual ou depois que o circuito de Motores ligados foi fechado por uma Parada de Emergência, Parada Geral, Parada Automática ou Parada Superior.	{args: }
1639412   	E   	Sistema             	20074   	Comando não permitido                   	2000-01-01 05:13:46 	O comando não é permitido no estado Parada de Proteção.	{args: "140"}
1639413   	I   	Operacional         	10002   	O ponteiro do programa foi redefinido   	2000-01-01 05:13:55 	O ponteiro do programa da tarefa T_ROB1 foi redefinido.	{args: "1", "0", "T_ROB1"}
1639414   	I   	Operacional         	10010   	Estado de motores desligados            	2000-01-01 05:13:56 	O sistema encontra-se no estado de Motores desligados. Ele entra nesse estado depois de passar do modo Manual para o Automático ou depois que o circuito de Motores ligados foi aberto enquanto o programa era executado.	{args: }
1639415   	I   	Operacional         	10011   	Estado de motores ligados               	2000-01-01 05:13:57 	O sistema encontra-se no estado de Motores ligados.	{args: }
1639416   	I   	Operacional         	10052   	Recupere a partida                      	2000-01-01 05:13:57 	Iniciou-se um movimento de recuperação.	{args: "0"}
1639417   	I   	Operacional         	10053   	A recuperação está pronta               	2000-01-01 05:13:57 	O movimento de recuperação está pronto.	{args: "0"}
1639418   	I   	Operacional         	10151   	O programa foi iniciado                 	2000-01-01 05:13:57 	A execução da tarefa T_ROB1 foi iniciada a partir da primeira instrução da rotina de entrada de tarefas. O originador é um cliente externo.	{args: "1", "T_ROB1"}
1639419   	I   	Operacional         	10012   	Estado de parada de proteção de segurança	2000-01-01 05:14:05 	O sistema encontra-se no estado de Parada de proteção. Ele entra nesse estado depois de passar do modo Automático para o Manual ou depois que o circuito de Motores ligados foi fechado por uma Parada de Emergência, Parada Geral, Parada Automática ou Parada Superior.	{args: }
1639420   	I   	Operacional         	10125   	O programa foi interrompido             	2000-01-01 05:14:05 	A tarefa T_ROB1 foi interrompida. O motivo é que ocorreu uma parada externa ou interna.	{args: "1", "T_ROB1"}
1639421   	I   	Operacional         	10002   	O ponteiro do programa foi redefinido   	2000-01-01 05:14:15 	O ponteiro do programa da tarefa T_ROB1 foi redefinido.	{args: "1", "0", "T_ROB1"}
1639422   	I   	Operacional         	10016   	Modo Automático Solicitado              	2000-01-01 05:14:17 	O sistema foi solicitado para passar ao modo Automático.	{args: }
1639423   	I   	Operacional         	10010   	Estado de motores desligados            	2000-01-01 05:14:17 	O sistema encontra-se no estado de Motores desligados. Ele entra nesse estado depois de passar do modo Manual para o Automático ou depois que o circuito de Motores ligados foi aberto enquanto o programa era executado.	{args: }
1639424   	I   	Operacional         	10017   	Confirmação do modo Automático          	2000-01-01 05:14:19 	O sistema está no modo Automático.	{args: }
1639425   	I   	Operacional         	10011   	Estado de motores ligados               	2000-01-01 05:14:22 	O sistema encontra-se no estado de Motores ligados.	{args: }
1639426   	I   	Operacional         	10052   	Recupere a partida                      	2000-01-01 05:14:25 	Iniciou-se um movimento de recuperação.	{args: "0"}
1639427   	I   	Operacional         	10053   	A recuperação está pronta               	2000-01-01 05:14:25 	O movimento de recuperação está pronto.	{args: "0"}
1639428   	I   	Operacional         	10151   	O programa foi iniciado                 	2000-01-01 05:14:25 	A execução da tarefa T_ROB1 foi iniciada a partir da primeira instrução da rotina de entrada de tarefas. O originador é um cliente externo.	{args: "1", "T_ROB1"}
1639429   	W   	Movimento           	50024   	Falha na trajetória com ângulo          	2000-01-01 05:14:39 	Tarefa: T_ROB1Trajetória com ângulo executada como ponto de parada por algum dos motivos a seguir:- Retardo de tempo.- Pontos com programação muito próxima.- Sistema exige alta carga de CPU.Ref. do Programa /Injetora/rPecaBoa/MoveJ/616	{args: "T_ROB1", "/Injetora/rPecaBoa/MoveJ/616"}
1639430   	E   	Movimento           	50056   	Colisão de junta                        	2000-01-01 06:02:17 	O torque efetivo na junta rob1_1 é superior ao solicitado enquanto estiver em velocidade baixa ou nula. Pode ter sido causado por erro de obstrução (o braço ficou preso) ou erro de hardware.	{args: "rob1_1"}
1639431   	I   	Operacional         	10020   	Estado de erro de execução              	2000-01-01 06:02:17 	A execução do programa na tarefa T_ROB1 parou devido a um erro espontâneo.	{args: "1", "T_ROB1"}
1639432   	I   	Operacional         	10012   	Estado de parada de proteção de segurança	2000-01-01 06:02:17 	O sistema encontra-se no estado de Parada de proteção. Ele entra nesse estado depois de passar do modo Automático para o Manual ou depois que o circuito de Motores ligados foi fechado por uma Parada de Emergência, Parada Geral, Parada Automática ou Parada Superior.	{args: }
1639433   	I   	Operacional         	10125   	O programa foi interrompido             	2000-01-01 06:02:17 	A tarefa T_ROB1 foi interrompida. O motivo é que ocorreu uma parada externa ou interna.	{args: "1", "T_ROB1"}
1639434   	I   	Operacional         	10010   	Estado de motores desligados            	2000-01-01 06:02:18 	O sistema encontra-se no estado de Motores desligados. Ele entra nesse estado depois de passar do modo Manual para o Automático ou depois que o circuito de Motores ligados foi aberto enquanto o programa era executado.	{args: }
1639435   	I   	Operacional         	10002   	O ponteiro do programa foi redefinido   	2000-01-01 06:07:00 	O ponteiro do programa da tarefa T_ROB1 foi redefinido.	{args: "1", "0", "T_ROB1"}
1639436   	I   	Operacional         	10021   	Redefinição do erro de execução         	2000-01-01 06:07:00 	 A execução do programa na tarefa T_ROB1 deixou um estado de erro espontâneo. 	{args: "1", "T_ROB1"}
1639437   	I   	Operacional         	10015   	Modo manual selecionado                 	2000-01-01 06:07:08 	O sistema está no modo Manual.	{args: }
1639438   	I   	Operacional         	10012   	Estado de parada de proteção de segurança	2000-01-01 06:07:08 	O sistema encontra-se no estado de Parada de proteção. Ele entra nesse estado depois de passar do modo Automático para o Manual ou depois que o circuito de Motores ligados foi fechado por uma Parada de Emergência, Parada Geral, Parada Automática ou Parada Superior.	{args: }
1639439   	I   	Operacional         	10016   	Modo Automático Solicitado              	2000-01-01 06:07:20 	O sistema foi solicitado para passar ao modo Automático.	{args: }
1639440   	I   	Operacional         	10010   	Estado de motores desligados            	2000-01-01 06:07:20 	O sistema encontra-se no estado de Motores desligados. Ele entra nesse estado depois de passar do modo Manual para o Automático ou depois que o circuito de Motores ligados foi aberto enquanto o programa era executado.	{args: }
1639441   	I   	Operacional         	10017   	Confirmação do modo Automático          	2000-01-01 06:07:26 	O sistema está no modo Automático.	{args: }
1639442   	E   	Sistema             	20072   	Comando não permitido                   	2000-01-01 06:07:43 	O comando não é permitido no estado Motores desligados.	{args: "140"}
1639443   	I   	Operacional         	10002   	O ponteiro do programa foi redefinido   	2000-01-01 06:08:40 	O ponteiro do programa da tarefa T_ROB1 foi redefinido.	{args: "1", "0", "T_ROB1"}
1639444   	I   	Operacional         	10015   	Modo manual selecionado                 	2000-01-01 06:08:44 	O sistema está no modo Manual.	{args: }
1639445   	I   	Operacional         	10012   	Estado de parada de proteção de segurança	2000-01-01 06:08:44 	O sistema encontra-se no estado de Parada de proteção. Ele entra nesse estado depois de passar do modo Automático para o Manual ou depois que o circuito de Motores ligados foi fechado por uma Parada de Emergência, Parada Geral, Parada Automática ou Parada Superior.	{args: }
1639446   	E   	Sistema             	20074   	Comando não permitido                   	2000-01-01 06:08:57 	O comando não é permitido no estado Parada de Proteção.	{args: "140"}
1639447   	I   	Operacional         	10002   	O ponteiro do programa foi redefinido   	2000-01-01 06:09:09 	O ponteiro do programa da tarefa T_ROB1 foi redefinido.	{args: "1", "0", "T_ROB1"}
1639448   	I   	Operacional         	10016   	Modo Automático Solicitado              	2000-01-01 06:09:16 	O sistema foi solicitado para passar ao modo Automático.	{args: }
1639449   	I   	Operacional         	10010   	Estado de motores desligados            	2000-01-01 06:09:16 	O sistema encontra-se no estado de Motores desligados. Ele entra nesse estado depois de passar do modo Manual para o Automático ou depois que o circuito de Motores ligados foi aberto enquanto o programa era executado.	{args: }
1639450   	I   	Operacional         	10017   	Confirmação do modo Automático          	2000-01-01 06:09:24 	O sistema está no modo Automático.	{args: }
1639451   	I   	Operacional         	10011   	Estado de motores ligados               	2000-01-01 06:14:05 	O sistema encontra-se no estado de Motores ligados.	{args: }
1639452   	I   	Operacional         	10052   	Recupere a partida                      	2000-01-01 06:14:08 	Iniciou-se um movimento de recuperação.	{args: "0"}
1639453   	I   	Operacional         	10053   	A recuperação está pronta               	2000-01-01 06:14:08 	O movimento de recuperação está pronto.	{args: "0"}
1639454   	I   	Operacional         	10151   	O programa foi iniciado                 	2000-01-01 06:14:08 	A execução da tarefa T_ROB1 foi iniciada a partir da primeira instrução da rotina de entrada de tarefas. O originador é um cliente externo.	{args: "1", "T_ROB1"}
